       X                   F4                  F5                  F6                  F7                  F8              q-mean(x)    
  1.282645e+00        2.171278e-02        2.702863e-01        6.451884e-01        6.159811e-02        1.214429e-03        5.750315e+00  
  1.290140e+00        2.138453e-02        2.684158e-01        6.467743e-01        6.219137e-02        1.233979e-03        5.753475e+00  
  1.297635e+00        2.106331e-02        2.665625e-01        6.483356e-01        6.278493e-02        1.253687e-03        5.756603e+00  
  1.305130e+00        2.074894e-02        2.647263e-01        6.498725e-01        6.337875e-02        1.273553e-03        5.759702e+00  
  1.312625e+00        2.044127e-02        2.629071e-01        6.513852e-01        6.397282e-02        1.293578e-03        5.762770e+00  
  1.320120e+00        2.014012e-02        2.611049e-01        6.528742e-01        6.456709e-02        1.313759e-03        5.765810e+00  
  1.327615e+00        1.984534e-02        2.593196e-01        6.543395e-01        6.516154e-02        1.334097e-03        5.768820e+00  
  1.335110e+00        1.955678e-02        2.575510e-01        6.557815e-01        6.575615e-02        1.354591e-03        5.771801e+00  
  1.342605e+00        1.927428e-02        2.557992e-01        6.572004e-01        6.635088e-02        1.375241e-03        5.774754e+00  
  1.350100e+00        1.899770e-02        2.540640e-01        6.585965e-01        6.694572e-02        1.396045e-03        5.777679e+00  
  1.357595e+00        1.872689e-02        2.523454e-01        6.599701e-01        6.754063e-02        1.417005e-03        5.780576e+00  
  1.365090e+00        1.846172e-02        2.506432e-01        6.613214e-01        6.813559e-02        1.438118e-03        5.783445e+00  
  1.372585e+00        1.820205e-02        2.489575e-01        6.626506e-01        6.873057e-02        1.459385e-03        5.786288e+00  
  1.380080e+00        1.794775e-02        2.472879e-01        6.639580e-01        6.932555e-02        1.480805e-03        5.789104e+00  
  1.387575e+00        1.769869e-02        2.456346e-01        6.652438e-01        6.992050e-02        1.502377e-03        5.791893e+00  
  1.395070e+00        1.745474e-02        2.439974e-01        6.665084e-01        7.051540e-02        1.524101e-03        5.794657e+00  
  1.402565e+00        1.721579e-02        2.423762e-01        6.677519e-01        7.111023e-02        1.545976e-03        5.797395e+00  
  1.410060e+00        1.698172e-02        2.407708e-01        6.689745e-01        7.170495e-02        1.568002e-03        5.800107e+00  
  1.417555e+00        1.675240e-02        2.391813e-01        6.701766e-01        7.229955e-02        1.590177e-03        5.802794e+00  
  1.425050e+00        1.652773e-02        2.376074e-01        6.713583e-01        7.289401e-02        1.612503e-03        5.805456e+00  
  1.432545e+00        1.630761e-02        2.360492e-01        6.725200e-01        7.348830e-02        1.634977e-03        5.808094e+00  
  1.440040e+00        1.609191e-02        2.345064e-01        6.736618e-01        7.408239e-02        1.657599e-03        5.810708e+00  
  1.447535e+00        1.588054e-02        2.329790e-01        6.747839e-01        7.467627e-02        1.680369e-03        5.813297e+00  
  1.455030e+00        1.567340e-02        2.314668e-01        6.758866e-01        7.526992e-02        1.703285e-03        5.815863e+00  
  1.462525e+00        1.547038e-02        2.299698e-01        6.769702e-01        7.586331e-02        1.726349e-03        5.818406e+00  
  1.470020e+00        1.527140e-02        2.284879e-01        6.780348e-01        7.645642e-02        1.749557e-03        5.820925e+00  
  1.477515e+00        1.507635e-02        2.270209e-01        6.790807e-01        7.704924e-02        1.772911e-03        5.823422e+00  
  1.485010e+00        1.488515e-02        2.255687e-01        6.801081e-01        7.764173e-02        1.796410e-03        5.825896e+00  
  1.492505e+00        1.469771e-02        2.241312e-01        6.811172e-01        7.823389e-02        1.820052e-03        5.828348e+00  
